Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  39  : ('事', 1.0000000000000004)('国国务', 1.0000000000000002)('坡', 1.0000000000000002)('结束访', 1.0000000000000002)
Article  40  : ('希望', 1.0000000000000002)('为', 1.0000000000000002)('在', 1.0000000000000002)('天', 1.0000000000000002)
Article  41  : ('论坛', 1.0314025706033265)('和', 1.0000000000000009)('对', 1.0000000000000004)('贸', 1.0000000000000004)
Article  42  : ('一', 1.0000000000000004)('日上午在', 1.0000000000000002)('副', 1.0000000000000002)('总', 1.0000000000000002)
Article  43  : ('行', 1.0790081350800713)('机', 1.000000000000001)('组', 1.0000000000000007)('电', 1.0000000000000004)
Article  44  : ('1', 1.0000000000000002)('分', 1.0000000000000002)('斯', 1.0000000000000002)('潘', 1.0000000000000002)
Article  45  : ('晶', 1.1807311286285338)('尚未', 1.0000000000000004)('了', 1.0000000000000004)('表示', 1.0000000000000002)
Article  46  : ('个', 1.2902901785714278)('又', 1.264730314064634)('朵', 1.2256196470914742)('的', 1.000000000000003)
Article  47  : ('如', 1.2759371626618157)('中', 1.035356046919569)('民', 1.0000000000000016)('农', 1.0000000000000013)
Article  48  : ('邀请', 1.0000000000000007)('职业联赛', 1.0000000000000004)('协', 1.0000000000000004)('加盟', 1.0000000000000002)
Article  49  : ('选手', 1.0000000000000009)('2', 1.0000000000000004)('比', 1.0000000000000002)('民', 1.0000000000000002)
Article  50  : ('龙舟', 1.0000000000000004)('2', 1.0000000000000004)('第', 1.0000000000000002)('农', 1.0)
Article  51  : ('岩', 1.5425143011807614)('0', 1.1290078379133355)('3', 1.043329551872596)('第', 1.0000000000000018)
Article  52  : ('联', 1.0452326645030157)('览', 1.0000000000000009)('际', 1.0000000000000004)('天', 1.0000000000000002)
Article  53  : ('0', 1.2380667383079484)('信', 1.0000000000000007)('电', 1.0000000000000004)('国', 1.0000000000000002)
Article  54  : ('设', 1.1320247631195333)('国际机', 1.0000000000000002)('增', 1.0000000000000002)('客运', 1.0000000000000002)
Article  55  : ('0', 1.1328155597314842)('2', 1.0735845110312303)('数', 1.0000000000000004)('香港恒生', 1.0000000000000002)
Article  56  : ('0', 1.2142180540212837)('的', 1.0353898094427751)('增', 1.0000000000000007)('航班', 1.0000000000000004)
Article  57  : ('1', 1.44943292323883)('5', 1.2467082571856754)('的', 1.108690302391413)('行', 1.0185486968449935)
Article  58  : ('部', 1.2661266776598181)('了', 1.0989307879756862)('的', 1.032267792786793)('国', 1.0000000000000024)
Article  59  : ('国', 1.1708346371946585)('会', 1.0000000000000002)('见', 1.0000000000000002)('新华社北京11月1日电', 1.0000000000000002)
Article  60  : ('主持召开', 1.0000000000000004)('条例', 1.0000000000000004)('煤矿安全监察', 1.0000000000000002)('国有企业', 1.0000000000000002)
Article  61  : ('孙', 1.2781558942159135)('蒸', 1.1437229561454763)('的', 1.0655869095695034)('西藏', 1.0000000000000004)
Article  62  : ('国', 1.0718878700901573)('计算机信息', 1.0000000000000009)('计算机信息系统安全', 1.0000000000000007)('届', 1.0000000000000004)
Article  63  : ('世', 1.0000000000000004)('天', 1.0000000000000002)('起', 1.0000000000000002)('在沪', 1.0000000000000002)
Article  64  : ('高', 1.3278325345616915)('的', 1.0000000000000016)('解', 1.0000000000000007)('维权', 1.0000000000000007)
Article  65  : ('狠', 1.098299319727891)('打假', 1.0000000000000004)('联', 1.0000000000000002)('制售假冒伪劣商品违法犯罪活动', 1.0000000000000002)
Article  66  : ('经济发展', 1.029055025337452)('改革', 1.0000000000000007)('提', 1.0000000000000002)('与中国', 1.0000000000000002)
Article  67  : ('社', 1.0748836040834804)('越', 1.000000000000001)('国', 1.0000000000000009)('新', 1.0000000000000007)
Article  68  : ('的', 1.0964661062139374)('社', 1.071966421030103)('通讯', 1.0000000000000007)('越', 1.0000000000000004)
Article  69  : ('空', 1.0000000000000002)('社', 1.0000000000000002)('安', 1.0000000000000002)('卡拉', 1.0000000000000002)
Article  70  : ('进', 1.1380301550983003)('欧盟', 1.0000000000000007)('同', 1.0000000000000004)('的', 1.0000000000000004)
Article  71  : ('9', 1.8069402118537032)('减免', 1.0000000000000004)('区', 1.0000000000000004)('非洲国家', 1.0000000000000002)
Article  72  : ('姆', 1.7277832763553795)('5', 1.0000000000000004)('移动电话', 1.0000000000000002)('市场潜力', 1.0000000000000002)
Article  73  : ('丽', 1.2790133500034537)('0', 1.2259145679034542)('桂', 1.185039100052131)('/刘', 1.0250831720488316)
Article  74  : ('死', 1.3656092360153491)('背', 1.3493593331404783)('微', 1.2256196470914742)('着', 1.1636512787832793)
Article  75  : ('一', 1.1901302072866198)('团体总分', 1.0312044328680097)('江', 1.0000000000000004)('军', 1.0000000000000004)
Article  76  : ('件', 1.4038046368127484)('市', 1.1971289025888812)('一', 1.138190155610613)('桩', 1.079691560345343)
Article  77  : ('会', 1.084443069458008)('国', 1.0324117476861399)('的', 1.0000000000000004)('京', 1.0000000000000002)
Article  78  : ('边', 1.1875700870769987)('随', 1.1021017369014163)('的', 1.095344182712855)('走私', 1.0881039729612225)
Article  79  : ('学', 1.0263678874172435)('科', 1.0000000000000007)('组', 1.0000000000000004)('为', 1.0000000000000004)
Article  80  : ('1', 1.163377297121235)('伞', 1.0953538358794561)('珠海航展', 1.0000000000000009)('的', 1.0000000000000007)
Article  81  : ('小', 1.187631078560005)('稳', 1.1026054004190962)('的', 1.000000000000001)('运', 1.0000000000000002)
Article  82  : ('0', 1.1267887044942708)('8', 1.0000000000000004)('有', 1.0000000000000004)('农', 1.0000000000000002)
Article  83  : ('熟', 1.1596164002710458)('试', 1.100366413994169)('甸', 1.0857569369551114)('箩筐', 1.000000000000001)
Article  84  : ('农', 1.0000000000000002)('女篮', 1.0000000000000002)('第四届全国农运会', 1.0000000000000002)('扎', 1.0000000000000002)
Article  85  : ('晶', 1.3493593331404778)('的王', 1.0000000000000007)('三', 1.0000000000000002)('花毽', 1.0000000000000002)
Article  86  : ('风筝', 1.0000000000000004)('翅', 1.0000000000000004)('比', 1.0000000000000002)('赛成绩公报', 1.0000000000000002)
Article  87  : ('1', 1.0000000000000002)('今日新华股价指数新华社北京11月', 1.0)('日', 1.0)('电', 1.0)
Article  88  : ('片', 1.0763812800699808)('新', 1.0000000000000007)('的', 1.0000000000000004)('生', 1.0000000000000004)
Article  89  : ('0', 1.1026054004190962)('谢', 1.0204867674858222)('人', 1.0000000000000013)('国', 1.0000000000000007)
Article  90  : ('款', 1.1231494995360582)('坐', 1.091735790559322)('行政事业性收费', 1.0000000000000004)('不', 1.0000000000000004)
Article  91  : ('随', 1.3449243934339703)('0', 1.214218054021284)('迁', 1.1075415284662484)('口普查', 1.0000000000000004)
Article  92  : ('表', 1.1293480780688798)('户', 1.12669160651141)('一边', 1.1118207260745694)('正', 1.0623466049816987)
Article  93  : ('0', 1.4502242418324762)('一', 1.192005201152855)('阁下', 1.1273910000020282)('就', 1.0000000000000004)
Article  94  : ('朝', 1.0000000000000004)('在', 1.0000000000000002)('马来西亚', 1.0000000000000002)('导弹问题', 1.0000000000000002)
Article  95  : ('祖', 1.2499680675841327)('表', 1.1666091161925247)('好', 1.1177974375157744)('辈', 1.0994168760929786)
Article  96  : ('见', 1.338997306933698)('乐', 1.3134717591527516)('不', 1.2439069523071227)('识', 1.1584187070648138)
Article  97  : ('州', 1.042762445927696)('北京', 1.0000000000000004)('发', 1.0000000000000002)('里约热内卢', 1.0000000000000002)
Article  98  : ('1', 1.0000000000000002)('重点城市空气质量状况新华社北京11月', 1.0)('日', 1.0)('电', 1.0)
Article  99  : ('两', 1.5277520576131685)('的', 1.0000000000000027)('车', 1.0000000000000007)('多', 1.0000000000000004)
Article  100  : ('2', 1.2142180540212837)('名', 1.1191480009806332)('中', 1.0000000000000007)('全', 1.0000000000000004)
Article  101  : ('8', 1.160809801698478)('工', 1.0000000000000004)('行', 1.0000000000000004)('开通', 1.0000000000000004)
Article  102  : ('本', 1.3548007383806204)('丝', 1.133796296296296)('0', 1.1291373644370832)('菊', 1.03402099609375)
Article  103  : ('院', 1.0386586900692485)('西南农业大学', 1.0000000000000004)('的', 1.0000000000000004)('2', 1.0000000000000004)
Article  104  : ('2', 1.1334753470612495)('0', 1.0573510418304306)('年', 1.0228410565481187)('纸', 1.0208188657407407)
Article  105  : ('海', 1.0886499999999995)('管理', 1.000000000000001)('间', 1.0000000000000004)('的', 1.0000000000000004)
Article  106  : ('县', 1.1738683127572007)('4', 1.1424228311118376)('1', 1.1273537590893339)('万', 1.0000000000000004)
Article  107  : ('9', 1.5970428849896394)('大', 1.0000000000000004)('将', 1.0000000000000002)('开', 1.0000000000000002)
Article  108  : ('5', 1.2816923534192652)('产', 1.0000000000000004)('累计', 1.0000000000000002)('9', 1.0000000000000002)
Article  109  : ('9', 1.3626484356408992)('无线上网', 1.0000000000000018)('因特网', 1.0000000000000004)('2', 1.0000000000000004)
Article  110  : ('0', 1.241393382443122)('的', 1.063098210868067)('申', 1.0000000000000004)('进入', 1.0000000000000002)
Article  111  : ('年', 1.2823497387255638)('1', 1.2637727133594903)('组', 1.0714193871623425)('如期', 1.0000000000000004)
Article  112  : ('0', 1.1986378171258003)('在', 1.0000000000000002)('香港会议展览', 1.0000000000000002)('增加了', 1.0000000000000002)
Article  113  : ('防', 1.170177196176604)('品', 1.0000000000000024)('单', 1.0000000000000009)('E', 1.0000000000000004)
Article  114  : ('向', 1.0000000000000004)('福利', 1.0000000000000002)('捐', 1.0000000000000002)('是', 1.0000000000000002)
Article  115  : ('手', 2.329600694444444)('户', 1.3956303966150585)('一', 1.1811084205735092)('员', 1.0712262382385778)
Article  116  : ('上', 1.0000000000000004)('海', 1.0000000000000004)('专', 1.0000000000000002)('建', 1.0000000000000002)
Article  117  : ('息', 1.3656092360153491)('会', 1.1077940208531134)('消费', 1.0000000000000007)('上', 1.0000000000000004)
Article  118  : ('科技', 1.0000000000000007)('集', 1.0000000000000004)('多', 1.0000000000000004)('高', 1.0000000000000004)
Article  119  : ('法', 1.2465057076558241)('2', 1.205171409876201)('主', 1.0000000000000002)('开庭审理', 1.0000000000000002)
Article  120  : ('刀', 1.0000000000000007)('能', 1.0000000000000004)('研', 1.0000000000000002)('酸', 1.0000000000000002)
Article  121  : ('新', 1.0143945422235476)('选', 1.000000000000002)('在', 1.0000000000000009)('岛', 1.0000000000000007)
Article  122  : ('场', 1.2040881770036873)('1', 1.0173400000000001)('的', 1.0000000000000007)('陕西', 1.0000000000000004)
Article  123  : ('9', 1.0894841944726108)('6', 1.0780233645395132)('1', 1.0627758419814568)('8', 1.0565512121444482)
Article  124  : ('育', 1.0000000000000004)('面', 1.0000000000000004)('丰收', 1.0000000000000002)('新华社石家庄11月1', 1.0000000000000002)
Article  125  : ('南', 1.0000000000000004)('的', 1.0000000000000004)('为农', 1.0000000000000002)('新华社南宁11月1', 1.0000000000000002)
Article  126  : ('国', 1.1364593967331307)('引', 1.0568534224218125)('等', 1.0000000000000004)('体', 1.0000000000000004)
Article  127  : ('1', 1.162343466640448)('伞', 1.0953538358794561)('的', 1.0213252029629634)('珠海航展', 1.0000000000000009)
Article  128  : ('集团', 1.0000000000000007)('中', 1.0000000000000004)('商', 1.0000000000000004)('成', 1.0000000000000004)
Article  129  : ('9点', 1.0000000000000007)('来到', 1.0000000000000007)('人', 1.0000000000000004)('入', 1.0000000000000004)
Article  130  : ('各', 1.1977528896895182)('好', 1.197752889689518)('闸', 1.1245968330707727)('清', 1.0143305785123968)
Article  131  : ('1', 1.2399028648491033)('权', 1.1947710123179338)('9', 1.1840430560740316)('医疗卫生', 1.0000000000000004)
Article  132  : ('1', 1.3302932739257811)('种', 1.1372247116801297)('成', 1.0921874999999972)('不', 1.0000000000000009)
Article  133  : ('做', 1.241723536331234)('来', 1.089852849823136)('生', 1.0821667640136943)('回', 1.0717234193569871)
Article  134  : ('0', 1.2793150019926816)('度', 1.1748326815597583)('2', 1.0000000000000009)('服务', 1.0000000000000002)
Article  135  : ('货运飞船', 1.0000000000000004)('脱离', 1.0000000000000004)('日', 1.0000000000000004)('俄罗斯', 1.0000000000000004)
Article  136  : ('有', 1.273378257629864)('何', 1.2017549653790085)('国', 1.0879819455137016)('我', 1.0000000000000007)
Article  137  : ('怪', 1.3038209629089725)('格', 1.1364062844814906)('的', 1.000000000000002)('各', 1.0000000000000007)
Article  138  : ('条第一款', 1.1820862749489187)('赠', 1.1790317082672452)('条第二款', 1.1533360698439052)('国', 1.0717326070855642)
Article  139  : ('有', 1.0300825350570835)('的', 1.014103825114732)('作', 1.0000000000000007)('家', 1.0000000000000007)
Article  140  : ('谁', 1.2117488407947727)('小', 1.1480345341957756)('二', 1.1007366083649766)('的', 1.0376790779170169)
Article  141  : ('已', 1.0000000000000002)('由', 1.0000000000000002)('中华人民共和国主席', 1.0)('令', 1.0)
Article  142  : ('9', 1.3505884387801554)('赠', 1.1790317082672452)('归侨侨眷权益保护法', 1.128292975861971)('1', 1.0736090381488625)
Article  143  : ('再', 1.3462160533589749)('能', 1.156474166606698)('煤', 1.0955294543514706)('国', 1.0155251382017094)
Article  144  : ('项', 1.3427767037528926)('吃', 1.2634848189467598)('此', 1.228917358428536)('服', 1.1970465052570116)
Article  145  : ('0', 1.8302694267876045)('1', 1.154320987654319)('2', 1.0491412426788767)('和', 1.0387851851851848)
Article  146  : ('西', 1.164042632371998)('偏', 1.1443525295232542)('国', 1.1247443850349794)('俄', 1.020069884389324)
Article  147  : ('部', 1.136438082286615)('国', 1.0786184235767624)('重', 1.0000000000000004)('中美关系', 1.0000000000000004)
Article  148  : ('年', 1.0000000000000004)('参加', 1.0000000000000004)('共', 1.0000000000000002)('产', 1.0000000000000002)
Article  149  : ('全', 1.0000000000000004)('征兵', 1.0000000000000004)('大', 1.0000000000000004)('今', 1.0000000000000002)
Article  150  : ('2', 1.2806576229483606)('的', 1.0329365475703662)('中学生', 1.0000000000000002)('布宜诺斯艾利斯', 1.0000000000000002)
Article  151  : ('的', 1.0000000000000004)('华社哈瓦那', 1.0000000000000002)('基础', 1.0000000000000002)('工', 1.0000000000000002)
Article  152  : ('投资', 1.0000000000000007)('金', 1.0000000000000007)('委托', 1.0000000000000002)('外汇储备', 1.0000000000000002)
Article  153  : ('0', 1.7504193217324597)('议', 1.200723444313169)('1', 1.1510158251632385)('州', 1.1286923567520388)
Article  154  : ('学', 1.2823497387255638)('5', 1.133796296296296)('瑞士', 1.0000000000000004)('股', 1.0000000000000002)
Article  155  : ('表示', 1.0000000000000004)('以巴双方', 1.0000000000000004)('华社伦敦', 1.0000000000000002)('伦敦', 1.0000000000000002)
Article  156  : ('的', 1.1033514839597172)('日本', 1.0000000000000002)('出', 1.0000000000000002)('员', 1.0000000000000002)
Article  157  : ('协', 1.0000000000000002)('对', 1.0000000000000002)('的', 1.0000000000000002)('表示慰问', 1.0000000000000002)
Article  158  : ('已', 1.0000000000000002)('由', 1.0000000000000002)('中华人民共和国主席', 1.0)('令', 1.0)
Article  159  : ('渔', 1.143542699263633)('有', 1.0779697706406965)('的', 1.0000000000000053)('国', 1.0000000000000018)
Article  160  : ('谁', 1.1438602655045713)('小', 1.0848919855320023)('水', 1.0495174807632872)('的', 1.02078456903172)
Article  161  : ('的', 1.0216378602703584)('渔', 1.0000000000000007)('处', 1.0000000000000007)('全', 1.0000000000000004)
Article  162  : ('5', 1.128692356752039)('市', 1.0000000000000009)('北京', 1.0000000000000004)('保障', 1.0000000000000004)
Article  163  : ('0', 1.3656092360153491)('的一项', 1.0000000000000004)('研', 1.0000000000000002)('探讨', 1.0000000000000002)
Article  164  : ('好', 1.1877935731014362)('全', 1.0000000000000004)('各', 1.0000000000000004)('制', 1.0000000000000004)
Article  165  : ('会', 1.3411388191261568)('中', 1.2067623036869044)('奖', 1.1490192689637417)('艺术节', 1.0000000000000007)
Article  166  : ('科', 1.2439069523071227)('1', 1.0640946361046737)('公', 1.0000000000000004)('白', 1.0000000000000004)
Article  167  : ('治疗', 1.0000000000000007)('在上海', 1.0000000000000007)('激光', 1.0000000000000004)('的', 1.0000000000000004)
Article  168  : ('随', 1.1596164002710458)('机', 1.0579882381983368)('海', 1.0000000000000004)('有', 1.0000000000000004)
Article  169  : ('争', 1.275283444093818)('部', 1.2463428548025492)('讲', 1.2435719013273685)('传', 1.1862548037295597)
Article  170  : ('1', 1.0000000000000004)('将向', 1.0000000000000002)('航班', 1.0000000000000002)('日', 1.0000000000000002)
Article  171  : ('0', 1.128692356752039)('集团', 1.0000000000000002)('新', 1.0000000000000002)('华社墨西哥城', 1.0000000000000002)
Article  172  : ('企业', 1.0000000000000002)('为', 1.0000000000000002)('都', 1.0000000000000002)('联', 1.0000000000000002)
Article  173  : ('拉', 1.0000000000000004)('军方', 1.0000000000000002)('军', 1.0000000000000002)('人', 1.0000000000000002)
Article  174  : ('宁', 1.0000000000000004)('新', 1.0000000000000002)('务', 1.0000000000000002)('部长阿', 1.0000000000000002)
Article  175  : ('人', 1.2747878600823042)('与', 1.0847605244126928)('呼吁', 1.0000000000000002)('用', 1.0000000000000002)
Article  176  : ('所', 1.184548104956267)('会', 1.0524230546955755)('国', 1.0333969835104202)('合', 1.0000000000000024)
Article  177  : ('任命', 1.0000000000000002)('合', 1.0000000000000002)('国', 1.0000000000000002)('哈', 1.0000000000000002)
Article  178  : ('鱼', 1.1075415284662486)('食品', 1.0000000000000007)('但', 1.0000000000000004)('议', 1.0000000000000002)
Article  179  : ('重', 1.1896183400343892)('化', 1.1423906091859102)('1', 1.0000000000000007)('新', 1.0000000000000004)
Article  180  : ('2', 1.1247988286997765)('1', 1.108457713414463)('用', 1.072540410923456)('的', 1.0000000000000009)
Article  181  : ('台湾', 1.0000000000000007)('普', 1.0000000000000004)('气', 1.0000000000000004)('的', 1.0000000000000002)
Article  182  : ('国', 1.219481004642348)('国家环保总局', 1.0000000000000002)('建设', 1.0000000000000002)('前', 1.0000000000000002)
Article  183  : ('9', 1.683475958059174)('套', 1.1649156757614063)('形', 1.1633772971212355)('浪', 1.0865532181914797)
Article  184  : ('优势', 1.1877935731014364)('蔬菜', 1.0000000000000007)('成', 1.0000000000000007)('调', 1.0000000000000004)
Article  185  : ('9', 1.2816923534192655)('业', 1.02194652972387)('接待', 1.000000000000001)('务', 1.0000000000000007)
Article  186  : ('航', 1.0257581278632257)('天', 1.0000000000000004)('起', 1.0000000000000002)('票', 1.0000000000000002)
Article  187  : ('皱', 1.0000000000000007)('推', 1.0000000000000002)('用', 1.0000000000000002)('柳州', 1.0000000000000002)
Article  188  : ('9', 1.8408662261962019)('头', 1.0000000000000002)('降', 1.0000000000000002)('展', 1.0000000000000002)
Article  189  : ('3', 1.0000000000000004)('非洲', 1.0000000000000002)('第一个', 1.0000000000000002)('社', 1.0000000000000002)
Article  190  : ('国', 1.1168788185186116)('长', 1.0000000000000004)('非', 1.0000000000000004)('的', 1.0000000000000004)
Article  191  : ('以', 1.152544639675332)('和', 1.0730749423141424)('双方', 1.0000000000000002)('已经', 1.0000000000000002)
Article  192  : ('一', 1.1079290647028324)('派', 1.1068654850238575)('教', 1.0835693103023891)('西藏', 1.0364936985596707)
Article  193  : ('议', 1.4364357394727134)('再', 1.0000000000000004)('抗议', 1.0000000000000004)('大规模', 1.0000000000000002)
Article  194  : ('葡萄牙', 1.0000000000000007)('目', 1.0000000000000004)('食', 1.0000000000000002)('新华社里斯本', 1.0000000000000002)
Article  195  : ('1', 1.0143305785123968)('马拉多纳', 1.0000000000000007)('四十', 1.0000000000000004)('我', 1.0000000000000004)
Article  196  : ('武', 1.0637999632479518)('民', 1.0000000000000004)('是', 1.0000000000000004)('在', 1.0000000000000004)
Article  197  : ('滔', 1.2256196470914744)('愈', 1.179031708267245)('开', 1.0850441172182534)('乡', 1.0421251849424222)
Article  198  : ('的', 1.0000000000000004)('昨晚', 1.0000000000000002)('新加坡航空公司', 1.0000000000000002)('一', 1.0000000000000002)
Article  199  : ('0', 1.1047337278106506)('人', 1.0000000000000004)('在', 1.0000000000000004)('中', 1.0000000000000002)
Article  200  : ('降', 1.0000000000000004)('1', 1.0000000000000004)('国', 1.0000000000000002)('新', 1.0000000000000002)
Article  201  : ('1', 1.1847807861328103)('比', 1.140784379821759)('全', 1.0000000000000002)('面', 1.0000000000000002)
Article  202  : ('0', 1.0711021649496433)('9月份', 1.0000000000000004)('1', 1.0000000000000004)('为', 1.0000000000000004)
Article  203  : ('加', 1.2171408339594283)('预', 1.0000000000000004)('仍将', 1.0000000000000004)('持', 1.0000000000000002)
Article  204  : ('1', 1.1633772971212355)('0', 1.133957835963697)('臭氧', 1.0000000000000004)('时', 1.0000000000000004)
Article  205  : ('拉', 1.3570348354756216)('以', 1.1268893592344251)('在', 1.0000000000000009)('人', 1.0000000000000004)
Article  206  : ('一', 1.0000000000000002)('在', 1.0000000000000002)('通讯', 1.0000000000000002)('当场', 1.0000000000000002)
Article  207  : ('国', 1.0000000000000004)('俄外长', 1.0000000000000002)('呼吁', 1.0000000000000002)('共同努力', 1.0000000000000002)
Article  208  : ('会', 1.0000000000000007)('31日在', 1.0000000000000002)('首', 1.0000000000000002)('相', 1.0000000000000002)
Article  209  : ('和', 1.0320205994352236)('平', 1.0000000000000009)('程', 1.0000000000000007)('进', 1.0000000000000004)
Article  210  : ('会', 1.0647163049382704)('国', 1.0324706796198204)('将', 1.0000000000000004)('展', 1.0000000000000004)
Article  211  : ('作', 1.0000000000000004)('政', 1.0000000000000004)('认', 1.0000000000000002)('为', 1.0000000000000002)
Article  212  : ('9', 1.2652581195881445)('0', 1.2569579161821283)('比', 1.1859105674209593)('一', 1.0943698662068848)
Article  213  : ('今', 1.0000000000000004)('的', 1.0000000000000004)('前', 1.0000000000000002)('家', 1.0000000000000002)
Article  214  : ('莱比锡女子网球公开赛', 1.0000000000000002)('第二天', 1.0000000000000002)('新华社柏林', 1.0000000000000002)('10月31日电', 1.0000000000000002)
Article  215  : ('进入', 1.0000000000000004)('天', 1.0000000000000004)('男子网球公开赛', 1.0000000000000002)('举', 1.0000000000000002)
Article  216  : ('1', 1.340586209554359)('奖牌', 1.0000000000000004)('新', 1.0000000000000002)('如', 1.0000000000000002)
Article  217  : ('队', 1.000000000000002)('亚', 1.0000000000000013)('身', 1.0000000000000007)('首', 1.0000000000000004)
Article  218  : ('家', 1.3433738525018037)('议', 1.0366699560917603)('员', 1.0000000000000016)('向', 1.0000000000000004)
Article  219  : ('1', 1.143833830056583)('他', 1.0000000000000007)('中', 1.0000000000000004)('本周', 1.0000000000000002)
Article  220  : ('0', 1.683475958059174)('参加', 1.0000000000000004)('操', 1.0000000000000002)('稳固', 1.0000000000000002)
Article  221  : ('0', 1.5944399284233985)('社', 1.214218054021284)('国', 1.0000000000000002)('冠军', 1.0000000000000002)
Article  222  : ('赛', 1.0635998687500003)('华侨大学', 1.0000000000000007)('又', 1.0000000000000004)('大学生', 1.0000000000000002)
